		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110010  246  243  200  280  240  226  250  226 16.723728 0.033118 SUCCESS 141
111110100  241  244  236  262  238  249  239  267  4.262620 0.832686 SUCCESS 142
111110110  238  232  251  246  262  246  257  224  4.783731 0.780421 SUCCESS 143
111111000  247  238  251  250  257  259  249  256  2.878288 0.941762 SUCCESS 144
111111010  261  255  218  283  244  251  251  258 12.218029 0.141738 SUCCESS 145
111111100  252  256  240  254  240  236  255  262  3.551919 0.895123 SUCCESS 146
111111110  272  236  252  247  235  237  265  273  9.815836 0.278191 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  255  234  240  233  246  232  241  235  2.563715 0.958694 SUCCESS   0
000000011  268  263  256  228  242  222  242  245  7.738809 0.459391 SUCCESS   1
000000101  244  226  225  221  232  248  239  216  9.356158 0.313147 SUCCESS   2
000000111  241  235  217  245  254  223  248  247  5.917040 0.656524 SUCCESS   3
000001001  229  238  242  253  246  230  268  244  4.756192 0.783288 SUCCESS   4
000001011  231  245  231  259  263  244  219  253  6.917954 0.545510 SUCCESS   5
000001101  238  280  247  249  237  278  233  272 14.640345 0.066528 SUCCESS   6
000001111  251  237  225  260  235  227  223  240  6.590671 0.581369 SUCCESS   7
000010001  252  255  242  270  271  232  239  230  8.258860 0.408601 SUCCESS   8
000010011  235  234  237  230  269  240  255  261  6.248560 0.619411 SUCCESS   9
000010101  234  253  240  222  236  243  251  261  4.605791 0.798758 SUCCESS  10
000010111  233  224  228  242  225  233  212  253 10.141001 0.255269 SUCCESS  11
000011001  262  235  250  254  228  264  251  236  5.520912 0.700722 SUCCESS  12
000011011  259  247  236  237  238  267  241  252  4.147171 0.843607 SUCCESS  13
000011101  239  240  227  225  282  207  246  219 17.581654 0.024591 SUCCESS  14
000011111  244  242  251  267  218  220  249  236  8.174127 0.416649 SUCCESS  15
000100011  233  249  239  257  243  228  242  229  3.533913 0.896542 SUCCESS  16
000100101  234  243  248  215  218  230  252  238  8.255682 0.408901 SUCCESS  17
000100111  242  257  245  231  263  233  256  217  7.202870 0.514911 SUCCESS  18
000101001  291  232  269  228  256  265  241  243 16.145422 0.040345 SUCCESS  19
000101011  252  239  268  246  252  233  269  241  6.253856 0.618820 SUCCESS  20
000101101  234  273  253  250  214  261  247  248  9.596589 0.294489 SUCCESS  21
000101111  231  236  240  245  229  248  220  221  6.849108 0.552997 SUCCESS  22
000110011  235  252  263  258  234  235  240  249  3.900385 0.865997 SUCCESS  23
000110101  241  260  255  245  239  243  284  275 12.505063 0.130052 SUCCESS  24
000110111  269  229  250  229  226  253  244  240  6.503819 0.590984 SUCCESS  25
000111001  261  259  248  235  247  265  219  257  7.818246 0.451423 SUCCESS  26
000111011  233  215  230  240  281  231  234  239 12.071864 0.148026 SUCCESS  27
000111101  266  253  250  264  272  248  215  236 11.409884 0.179538 SUCCESS  28
000111111  244  239  237  251  205  242  240  222  9.177158 0.327572 SUCCESS  29
001000011  254  257  224  247  276  245  239  271 10.345420 0.241614 SUCCESS  30
001000101  274  218  235  249  257  231  255  260 10.127232 0.256209 SUCCESS  31
